SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Pseudocolaptes lawrencii,Buffy Tuftedcheek,buftuf1,Passeriformes
Pseudocolaptes lawrencii lawrencii,Buffy Tuftedcheek (Buffy),buftuf2,Passeriformes
Pseudocolaptes lawrencii johnsoni,Buffy Tuftedcheek (Pacific),buftuf3,Passeriformes
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,strtuf1,Passeriformes
Premnornis guttuliger,Rusty-winged Barbtail,ruwbar1,Passeriformes
Tarphonomus harterti,Bolivian Earthcreeper,bolear1,Passeriformes
Tarphonomus certhioides,Chaco Earthcreeper,chaear1,Passeriformes
Furnarius figulus,Wing-banded Hornero,wibhor1,Passeriformes
Furnarius leucopus,Pale-legged Hornero,palhor2,Passeriformes
Furnarius leucopus longirostris/endoecus,Pale-legged Hornero (Caribbean),palhor5,Passeriformes
Furnarius leucopus [leucopus Group],Pale-legged Hornero (Pale-legged),palhor3,Passeriformes
Furnarius leucopus cinnamomeus,Pale-legged Hornero (Pacific),palhor4,Passeriformes
Furnarius torridus,Pale-billed Hornero,pabhor2,Passeriformes
Furnarius minor,Lesser Hornero,leshor1,Passeriformes
Furnarius rufus,Rufous Hornero,rufhor2,Passeriformes
Furnarius cristatus,Crested Hornero,crehor1,Passeriformes
Furnarius sp.,hornero sp.,horner1,Passeriformes
Lochmias nematura,Sharp-tailed Streamcreeper,shtstr1,Passeriformes
Phleocryptes melanops,Wren-like Rushbird,wrlrus1,Passeriformes
Limnornis curvirostris,Curve-billed Reedhaunter,cubree1,Passeriformes
Geocerthia serrana,Striated Earthcreeper,strear1,Passeriformes
Upucerthia saturatior,Patagonian Forest Earthcreeper,pafear1,Passeriformes
Upucerthia dumetaria,Scale-throated Earthcreeper,sctear1,Passeriformes
Upucerthia albigula,White-throated Earthcreeper,whtear1,Passeriformes
Upucerthia validirostris,Buff-breasted Earthcreeper,bubear2,Passeriformes
